route_id,trip_id,service_id,direction_id,shape_id
15170,2016883,1,0,74256
15170,2016884,1,1,74257
15170,2016885,1,0,74256
15170,2016886,1,1,74257
15170,2016888,1,0,74256
15170,2016889,1,1,74257
15170,2016890,1,0,74256
15170,2016891,1,1,74257
15170,2016892,1,0,74256
15170,2016893,1,1,74257
15170,2016895,1,0,74256
15170,2016896,1,1,74257
15170,2016898,1,0,74256
15170,2016899,1,0,74256
15170,2016900,1,1,74257
15170,2016902,1,0,74256
15170,2016904,1,0,74256
15170,2016905,1,0,74256
15170,2016906,1,1,74257
15170,2016908,1,1,74257
15170,2016909,1,1,74257
15170,2016910,1,1,74257
15170,2016911,1,0,74256
15170,2016912,1,1,74257
15170,2016914,1,0,74256
15170,2016915,1,1,74257
15170,2016918,1,0,74256
15170,2016919,1,1,74257
15170,2016920,1,0,74256
15170,2016921,1,1,74257
15170,2016923,1,0,74256
15170,2016924,1,1,74257
15170,2016925,1,0,74256
15170,2016926,1,1,74257
15170,2016927,1,0,74256
15170,2016928,1,1,74257
15170,2016930,1,0,74256
15170,2016931,1,1,74257
15170,2016933,1,0,74256
15170,2016934,1,1,74257
15170,2016936,1,0,74256
15170,2016937,1,1,74257
15170,2016939,1,0,74256
15170,2016940,1,1,74257
15170,2016942,1,0,74256
15170,2016943,1,1,74257
15170,2016945,1,0,74256
15170,2016946,1,1,74257
15170,2016948,1,0,74256
15170,2016949,1,1,74257
15170,2016951,1,0,74256
15170,2016952,1,1,74257
15170,2016954,1,0,74256
15170,2016955,1,1,74257
15170,2016957,1,0,74256
15170,2016958,1,1,74257
15170,2016960,1,0,74256
15170,2016961,1,1,74257
15170,2016963,1,0,74256
15170,2016965,1,0,74256
15170,2016966,1,1,74257
15170,2016967,1,1,74257
15170,2016969,1,0,74256
15170,2016971,1,0,74256
15170,2016972,1,1,74257
15170,2016973,1,0,74256
15170,2016974,1,1,74257
15170,2016976,1,1,74257
15170,2016978,1,0,74256
15170,2016979,1,1,74257
15170,2016981,1,0,74256
15170,2016982,1,1,74257
15170,2016984,1,0,74256
15170,2016985,1,1,74257
15170,2016987,1,0,74256
15170,2016988,1,1,74257
15170,2016989,1,0,74256
15170,2016992,1,0,74256
15227,2017492,1,0,74177
15227,2017493,1,1,74178
15227,2017494,1,0,74177
15227,2017495,1,1,74178
15227,2017497,1,0,74177
15227,2017500,1,1,74178
15227,2017501,1,0,74177
15227,2017502,1,1,74178
15227,2017504,1,0,74177
15227,2017506,1,1,74178
15227,2017507,1,0,74177
15227,2017508,1,1,74178
15227,2017510,1,0,74177
15227,2017512,1,1,74178
15227,2017513,1,0,74177
15227,2017514,1,1,74178
15227,2017515,1,0,74177
15227,2017516,1,1,74178
15227,2017517,1,0,74177
15227,2017518,1,1,74178
15227,2017521,1,0,74177
15227,2017522,1,1,74178
15227,2017526,1,0,74177
15227,2017527,1,1,74178
15227,2017528,1,0,74177
15227,2017530,1,1,74178
15227,2017532,1,0,74177
15227,2017534,1,1,74178
15227,2017535,1,0,74177
15227,2017536,1,1,74178
15227,2017538,1,0,74177
15227,2017540,1,1,74178
15227,2017541,1,0,74177
15227,2017542,1,1,74178
15227,2017548,1,0,74177
15227,2017549,1,1,74178
15227,2017550,1,0,74177
15227,2017551,1,1,74178
15227,2017553,1,0,74177
15227,2017555,1,1,74178
15227,2017556,1,0,74177
15227,2017557,1,1,74178
15227,2017559,1,0,74177
15227,2017560,1,1,74178
15227,2017562,1,0,74177
15227,2017563,1,1,74178
15227,2017564,1,0,74177
15227,2017565,1,1,74178
15227,2017566,1,0,74177
15227,2017567,1,1,74178
15227,2017569,1,0,74177
15227,2017570,1,1,74178
15227,2017571,1,0,74177
15227,2017572,1,1,74178
15227,2017574,1,0,74177
15227,2017575,1,1,74178
15227,2017577,1,0,74177
15227,2017578,1,1,74178
15227,2017580,1,0,74177
15227,2017581,1,1,74178
15227,2017582,1,0,74177
15227,2017583,1,1,74178
15227,2017585,1,0,74177
15227,2017586,1,1,74178
15227,2017587,1,0,74177
15227,2017588,1,1,74178
15227,2017590,1,0,74177
15227,2017592,1,1,74178
15227,2017594,1,0,74177
15227,2017597,1,1,74178
15227,2017598,1,0,74177
15227,2017599,1,1,74178
15227,2017600,1,0,74177
15227,2017603,1,1,74178
15227,2017608,1,0,74177
15227,2017609,1,1,74178
15227,2017610,1,0,74177
15227,2017612,1,1,74178
15227,2017614,1,0,74177
15227,2017615,1,1,74178
15227,2017618,1,0,74177
15227,2017619,1,1,74178
15227,2017620,1,0,74177
15227,2017622,1,1,74178
23905,2017624,1,1,75366
23905,2017625,1,0,124084
23905,2017650,1,1,75366
23905,2017656,1,0,124084
23905,2017657,1,1,75366
23905,2017658,1,0,124084
23905,2017662,1,1,75366
23905,2017677,1,0,75369
20274,2017760,1,1,81591
20274,2017762,1,1,81591
20274,2017764,1,1,81591
15234,2017766,4,0,74197
15234,2017767,4,1,74198
15234,2017768,4,0,74197
15234,2017769,4,1,74198
15234,2017770,4,0,74197
15234,2017771,4,1,74198
15234,2017772,4,0,74197
15234,2017773,4,1,74198
15234,2017774,4,0,74197
15234,2017775,4,1,74198
15234,2017776,4,0,74197
15234,2017777,4,1,74198
15234,2017778,4,0,74197
15234,2017779,4,1,74198
15234,2017780,4,0,74197
15234,2017781,4,1,74198
15234,2017782,4,0,74197
15234,2017783,4,1,74198
15234,2017784,4,0,74197
15234,2017785,4,1,74198
20274,2017786,1,1,81591
15234,2017788,4,0,74197
15234,2017789,4,1,74198
20274,2017790,1,1,81591
15234,2017793,4,0,74197
15234,2017794,4,1,74198
15234,2017795,4,0,74197
15234,2017796,4,1,74198
15234,2017799,4,0,74197
15234,2017800,4,1,74198
15234,2017801,4,0,74197
15234,2017802,4,1,74198
15234,2017804,4,0,74197
15234,2017805,4,1,74198
15234,2017806,4,0,74197
15234,2017807,4,1,74198
15234,2017809,4,0,74197
15234,2017810,4,1,74198
15234,2017812,4,0,74197
15234,2017813,4,1,74198
15234,2017814,4,0,74197
15234,2017815,4,1,74198
15234,2017816,4,0,74197
15234,2017817,4,1,74198
15234,2017818,4,0,74197
15234,2017819,4,1,74198
15234,2017820,4,0,74197
15234,2017821,4,1,74198
15234,2017822,4,0,74197
15234,2017823,4,1,74198
15234,2017824,4,0,74197
15234,2017825,4,1,74198
15234,2017826,4,0,74197
15234,2017827,4,1,74198
15234,2017828,4,0,74197
15234,2017829,4,1,74198
15234,2017831,4,0,74197
15234,2017832,4,1,74198
15234,2017833,4,0,74197
15234,2017834,4,1,74198
20274,2017836,1,1,81591
15234,2017837,4,0,74197
15234,2017839,4,1,74198
15234,2017840,4,0,74197
15234,2017841,4,1,74198
15234,2017842,4,0,74197
